utm_x,utm_y,flag
418618.372727,3867689.904978,0
418618.265030,3867690.116664,0
418618.166365,3867690.317179,0
418618.058865,3867690.551045,0
418617.950970,3867690.740552,0
418617.825405,3867690.996761,0
418617.672645,3867691.275394,0
418617.520082,3867691.576207,0
418617.358288,3867691.866012,0
418617.205626,3867692.155735,0
418617.052767,3867692.423278,0
418616.917873,3867692.657388,0
418616.819208,3867692.857903,0
418616.684414,3867693.103104,0
418616.576716,3867693.314790,0
418616.450756,3867693.526639,0
418616.325192,3867693.782848,0
418616.217297,3867693.972354,0
418616.109501,3867694.172951,0
418615.992672,3867694.384719,0
418615.875843,3867694.596486,0
418615.759015,3867694.808254,0
418615.651416,3867695.031030,0
418615.534687,3867695.253888,0
418615.427187,3867695.487754,0
418615.319589,3867695.710531,0
418615.211990,3867695.933307,0
418615.113622,3867696.167092,0
418615.015154,3867696.389787,0
418614.925720,3867696.601311,0
418614.836087,3867696.790654,0
418614.728785,3867697.046700,0
418614.621483,3867697.302747,0
418614.496018,3867697.570046,0
418614.361520,3867697.848516,0
418614.281117,3867698.048869,0
418614.182453,3867698.249384,0
418614.083985,3867698.472078,0
418613.985518,3867698.694773,0
418613.868690,3867698.906541,0
418613.770223,3867699.129236,0
418613.662624,3867699.352013,0
418613.545993,3867699.585960,0
418613.429264,3867699.808818,0
418613.321665,3867700.031594,0
418613.204936,3867700.254452,0
418613.106469,3867700.477147,0
418612.989640,3867700.688915,0
418612.900107,3867700.889349,2
418612.783278,3867701.101116,2
418612.675482,3867701.301713,2
418612.558753,3867701.524570,2
418612.424057,3867701.780861,2
418612.307031,3867701.970449,2
418612.181170,3867702.193388,2
418612.028509,3867702.483111,2
418611.884484,3867702.717303,2
418611.740855,3867702.995855,2
418611.606357,3867703.274325,0
418611.471563,3867703.519526,0
418611.363866,3867703.731212,0
418611.256070,3867703.931809,0
418611.166437,3867704.121152,0
418611.076805,3867704.310496,0
418610.959878,3867704.511174,0
418610.852280,3867704.733950,0
418610.717782,3867705.012421,0
418610.547154,3867705.335577,0
418610.448292,3867705.513912,0
418610.241634,3867705.892843,0
418610.097807,3867706.149215,0
418609.971749,3867706.349974,0
418609.872886,3867706.528309,0
418609.719830,3867706.773673,0
418609.611935,3867706.963179,0
418609.504139,3867707.163776,0
418609.387113,3867707.353363,0
418609.234056,3867707.598727,0
418609.108393,3867707.843846,0
418608.982533,3867708.066785,0
418608.847640,3867708.300896,0
418608.703813,3867708.557268,0
418608.595820,3867708.735684,0
418608.434027,3867709.025489,0
418608.326132,3867709.214995,0
418608.182306,3867709.471367,0
418608.074510,3867709.671964,0
418607.957781,3867709.894821,0
418607.841249,3867710.139859,0
418607.742683,3867710.351464,0
418607.617020,3867710.596583,0
418607.536519,3867710.785846,0
418607.446986,3867710.986279,0
418607.357650,3867711.208893,0
418607.259184,3867711.431588,0
418607.169947,3867711.665292,0
418607.080611,3867711.887905,0
418606.991177,3867712.099429,0
418606.910676,3867712.288691,0
418606.830175,3867712.477954,0
418606.740543,3867712.667298,0
418606.624110,3867712.923425,0
418606.534874,3867713.157129,0
418606.418243,3867713.391077,0
418606.301712,3867713.636115,0
418606.212277,3867713.847638,0
418606.095746,3867714.092676,0
418605.979511,3867714.370984,0
418605.836079,3867714.671716,0
418605.692747,3867714.983538,0
418605.549415,3867715.295360,0
418605.387820,3867715.607345,0
418605.253422,3867715.896905,0
418605.109694,3867716.164367,0
418604.984229,3867716.431666,0
418604.858468,3867716.665696,0
418604.741837,3867716.899643,0
418604.643272,3867717.111249,0
418604.544706,3867717.322854,0
418604.455272,3867717.534377,0
418604.356706,3867717.745982,0
418604.267371,3867717.968596,0
418604.168805,3867718.180201,0
418604.070339,3867718.402896,0
418603.971773,3867718.614501,0
418603.864175,3867718.837278,0
418603.756676,3867719.071144,0
418603.649078,3867719.293921,0
418603.541480,3867719.516697,0
418603.443014,3867719.739393,0
418603.335416,3867719.962169,0
418603.227917,3867720.196036,0
418603.120319,3867720.418812,0
418603.021753,3867720.630417,0
418602.914057,3867720.842104,0
418602.806459,3867721.064880,0
418602.689730,3867721.287738,0
418602.573100,3867721.521686,0
418602.447338,3867721.755715,0
418602.312841,3867722.034186,0
418602.187376,3867722.301485,0
418602.043846,3867722.591127,0
418601.909448,3867722.880688,0
418601.774951,3867723.159158,0
418601.649585,3867723.437548,0
418601.524021,3867723.693757,0
418601.425653,3867723.927542,0
418601.336021,3867724.116886,0
418601.246389,3867724.306230,0
418601.147626,3867724.495655,0
418601.048962,3867724.696170,0
418600.923300,3867724.941289,0
418600.806867,3867725.197417,0
418600.681106,3867725.431446,0
418600.537477,3867725.709999,0
418600.339259,3867726.011219,0
418600.141140,3867726.323529,0
418599.951954,3867726.613578,0
418599.771505,3867726.859186,0
418599.636118,3867727.037847,0
418599.500632,3867727.205418,0
418599.356015,3867727.373070,0
418599.211299,3867727.529632,0
418599.057354,3867727.675186,0
418598.858147,3867727.865506,0
418598.622416,3867728.056152,0
418598.377454,3867728.235790,0
418598.141426,3867728.393166,0
418597.932594,3867728.528118,0
418597.750859,3867728.629556,0
418597.551060,3867728.753336,0
418597.351062,3867728.854937,0
418597.169328,3867728.956375,0
418596.987494,3867729.046722,0
418596.741939,3867729.159820,0
418596.550875,3867729.239159,0
418596.350680,3867729.318580,0
418596.159716,3867729.409009,0
418595.895602,3867729.489000,0
418595.658684,3867729.546566,0
418595.403504,3867729.604295,0
418595.203111,3867729.661536,0
418594.984555,3867729.730029,0
418594.738506,3867729.787677,0
418594.538114,3867729.844918,0
418594.319458,3867729.902321,0
418594.073410,3867729.959969,0
418593.818328,3867730.028788,0
418593.554017,3867730.086599,0
418593.308067,3867730.155336,0
418593.080380,3867730.223911,0
418592.852593,3867730.281396,0
418592.634037,3867730.349890,0
418592.424513,3867730.407212,0
418592.214989,3867730.464534,0
418591.996433,3867730.533028,0
418591.795941,3867730.579178,0
418591.595648,3867730.647509,0
418591.395255,3867730.704750,0
418591.204092,3867730.772999,0
418591.003799,3867730.841330,0
418590.794472,3867730.920832,0
418590.603409,3867731.000172,0
418590.412345,3867731.079511,0
418590.166988,3867731.214789,0
418589.948630,3867731.305463,0
418589.721239,3867731.407308,0
418589.530373,3867731.508827,0
418589.266556,3867731.622088,0
418589.057329,3867731.712680,0
418588.839069,3867731.814443,0
418588.602547,3867731.916370,0
418588.357092,3867732.040558,0
418588.111438,3867732.142565,0
418587.856654,3867732.244655,0
418587.620231,3867732.357671,0
418587.383610,3867732.448508,0
418587.174481,3867732.550190,0
418586.974287,3867732.629611,0
418586.728633,3867732.731619,0
418586.537471,3867732.799868,0
418586.309981,3867732.890623,0
418586.100556,3867732.959036,0
418585.818477,3867733.072459,0
418585.490643,3867733.175200,0
418585.244792,3867733.255028,0
418584.980777,3867733.346108,0
418584.734827,3867733.414846,0
418584.516271,3867733.483340,0
418584.252257,3867733.574421,0
