utm_x,utm_y,flag
413258.805317,3891766.362909,0
413258.639688,3891766.187032,0
413258.501486,3891766.021983,0
413258.354284,3891765.868113,0
413258.188549,3891765.681145,0
413258.041240,3891765.516183,0
413257.884718,3891765.340219,0
413257.728302,3891765.175344,0
413257.580994,3891765.010383,0
413257.433685,3891764.845422,0
413257.268056,3891764.669544,0
413257.111428,3891764.482489,0
413256.918158,3891764.273602,0
413256.780063,3891764.119644,0
413256.641862,3891763.954595,0
413256.512874,3891763.800550,0
413256.374779,3891763.646592,0
413256.209043,3891763.459624,0
413256.080055,3891763.305579,0
413255.932747,3891763.140617,0
413255.794545,3891762.975569,0
413255.656344,3891762.810520,0
413255.481501,3891762.623640,0
413255.334193,3891762.458678,0
413255.195991,3891762.293630,0
413255.057896,3891762.139672,0
413254.919801,3891761.985714,0
413254.772386,3891761.809662,0
413254.634184,3891761.644613,0
413254.496089,3891761.490655,0
413254.357782,3891761.314516,8
413254.219580,3891761.149468,8
413254.090592,3891760.995422,8
413253.933964,3891760.808367,8
413253.786443,3891760.621225,8
413253.630027,3891760.456351,0
413253.464397,3891760.280474,0
413253.317089,3891760.115512,0
413253.169780,3891759.950551,0
413253.022471,3891759.785590,0
413252.875162,3891759.620629,0
413252.746174,3891759.466583,0
413252.571332,3891759.279703,0
413252.396489,3891759.092822,0
413252.166259,3891758.828832,0
413251.991522,3891758.653042,0
413251.844320,3891758.499171,0
413251.715332,3891758.345126,0
413251.568129,3891758.191255,0
413251.420820,3891758.026293,0
413251.291832,3891757.872248,0
