utm_x,utm_y,flag,rddf_num
418563.506151,3867738.883388,0,0
418563.340701,3867738.762864,0,0
418563.334042,3867739.040195,0,0
418563.363612,3867739.283931,0,0
418563.384841,3867739.616468,0,0
418563.397137,3867739.971266,0,0
418563.427992,3867740.359172,0,0
418563.449617,3867740.736068,0,0
418563.478791,3867740.935444,0,0
418563.500317,3867741.301251,0,0
418563.512711,3867741.667139,0,0
418563.534040,3867742.010766,0,0
418563.546039,3867742.332294,0,0
418563.567169,3867742.653741,0,0
418563.579070,3867742.964180,0,0
418563.600200,3867743.285627,0,0
418563.649021,3867743.640099,0,0
418563.679382,3867743.972555,0,0
418563.718972,3867744.316019,0,0
418563.767694,3867744.659401,0,0
418563.798055,3867744.991857,0,0
418563.846776,3867745.335239,0,0
418563.877236,3867745.678785,0,0
418563.926156,3867746.044348,0,0
418563.965944,3867746.409992,0,0
418564.005930,3867746.797816,0,0
418564.036588,3867747.163541,0,0
418564.056630,3867747.362998,0,0
418564.096517,3867747.739732,0,0
418564.136603,3867748.138646,0,0
418564.158326,3867748.526633,0,0
418564.189181,3867748.914538,0,0
418564.209224,3867749.113995,0,0
418564.230849,3867749.490892,0,0
418564.250891,3867749.690349,0,0
418564.272714,3867750.089426,0,0
418564.303569,3867750.477332,0,0
418564.316162,3867750.865400,0,0
418564.336303,3867751.075947,0,0
418564.348797,3867751.452925,0,0
418564.361389,3867751.840993,0,0
418564.383113,3867752.228980,0,0
418564.395706,3867752.617049,0,0
418564.389937,3867752.994190,0,0
418564.411661,3867753.382177,0,0
418564.405991,3867753.770408,0,0
418564.400321,3867754.158639,0,0
418564.403486,3867754.513519,0,0
418564.397025,3867754.813030,0,0
418564.389872,3867755.034911,0,0
418564.373587,3867755.256874,0,0
418564.384795,3867755.489682,0,0
418564.386971,3867755.733662,0,0
418564.370983,3867755.988895,0,0
418564.364918,3867756.332766,0,0
418564.340887,3867756.710070,0,0
418564.324404,3867756.909853,0,0
418564.309603,3867757.298165,0,0
418564.285671,3867757.686559,0,0
418564.269980,3867757.975062,0,0
418564.281089,3867758.196781,0,0
418564.446539,3867758.317305,0,0
418564.593923,3867758.460172,0,0
418564.732276,3867758.614210,0,0
418566.287250,3867758.899797,0,0
