utm_x,utm_y,flag
413251.447611,3891757.970580,1
413251.576599,3891758.124625,1
413251.714801,3891758.289673,1
413251.853002,3891758.454722,1
413252.000205,3891758.608593,1
413252.156408,3891758.751286,1
413252.330826,3891758.893805,1
413252.495925,3891759.014230,1
413252.697452,3891759.134306,1
413252.889660,3891759.232289,1
413253.090869,3891759.319094,1
413253.282970,3891759.405986,1
413253.484179,3891759.492791,1
413253.694495,3891759.579508,1
413253.914024,3891759.677229,1
413254.142661,3891759.774863,1
413254.362190,3891759.872584,1
413254.581720,3891759.970305,1
413254.792142,3891760.068114,1
413255.002564,3891760.165922,1
413255.203773,3891760.252727,1
413255.395662,3891760.317438,1
413255.587551,3891760.382149,1
413255.815869,3891760.446512,1
413256.089404,3891760.477167,1
413256.289870,3891760.486339,1
413256.499336,3891760.484333,1
413256.708484,3891760.449056,1
413256.944847,3891760.402427,1
413257.144675,3891760.345056,1
413257.344291,3891760.265505,1
413257.561909,3891760.163598,1
413257.761206,3891760.050775,1
413257.951290,3891759.926949,1
413258.113840,3891759.781204,1
413258.258175,3891759.635633,1
413258.411724,3891759.501065,1
413258.565166,3891759.355407,1
413258.736717,3891759.198484,1
413258.880946,3891759.041822,1
413259.034495,3891758.907254,1
413258.881158,3891759.064003,10
413258.709501,3891759.209836,0
413258.538057,3891759.377849,0
413258.339291,3891759.546124,0
413258.185742,3891759.680692,0
413257.986976,3891759.848967,0
413257.824320,3891759.983622,0
413257.652769,3891760.140545,0
413257.481112,3891760.286378,0
413257.318562,3891760.432123,0
413257.137904,3891760.589133,0
413257.002783,3891760.745708,0
413256.840658,3891760.935815,0
413256.723963,3891761.114396,0
413256.607374,3891761.304067,0
413256.509000,3891761.493564,0
413256.410944,3891761.716332,0
413256.321996,3891761.939013,0
413256.269476,3891762.161345,0
413256.244703,3891762.427777,0
413256.246827,3891762.649586,0
413256.267166,3891762.871220,0
413256.315038,3891763.114774,0
413256.381019,3891763.347063,0
413256.456000,3891763.568174,0
413256.558198,3891763.777933,0
413256.669184,3891763.954334,0
413256.807597,3891764.141563,0
413256.964013,3891764.306437,0
413257.138962,3891764.504408,0
413257.341339,3891764.713208,0
413257.497861,3891764.889173,0
413257.663596,3891765.076141,0
413257.838545,3891765.274112,0
413258.022707,3891765.483086,0
413258.215870,3891765.680883,0
413258.390713,3891765.867764,0
413258.547129,3891766.032638,0
