utm_x,utm_y,flag
418528.231896,3867787.265877,1
418528.211160,3867786.988790,1
418528.190820,3867786.756063,1
418528.179314,3867786.489984,1
418528.166621,3867786.090826,1
418528.164048,3867785.802486,1
418528.180035,3867785.547254,1
418528.214284,3867785.291858,1
418528.266795,3867785.036299,1
418528.337767,3867784.802758,1
418528.427001,3867784.569053,1
418528.525465,3867784.346357,1
418528.651422,3867784.134507,1
418528.786509,3867783.922575,1
418528.912466,3867783.710724,1
418529.047652,3867783.509883,1
418529.182740,3867783.297951,1
418529.308796,3867783.097190,1
418529.453015,3867782.885177,1
418529.588102,3867782.673245,1
418529.714059,3867782.461395,1
418529.830885,3867782.249626,1
418529.956841,3867782.037776,1
418530.101159,3867781.836852,1
418530.236247,3867781.624920,1
418530.371434,3867781.424079,1
418530.515752,3867781.223155,1
418530.632577,3867781.011386,1
418530.758435,3867780.788446,1
418530.884391,3867780.576596,1
418531.010249,3867780.353655,1
418531.145337,3867780.141724,1
418531.271294,3867779.929873,1
418531.378889,3867779.707096,1
418531.468321,3867779.495571,1
418531.511998,3867779.273364,1
418531.537413,3867779.051320,1
418531.517172,3867778.829683,1
418531.506062,3867778.607965,1
418531.458229,3867778.364392,1
418531.419627,3867778.131828,1
418531.467459,3867778.375401,10
418531.506062,3867778.607965,0
418531.499206,3867778.863116,0
418531.474088,3867779.118430,0
418531.403314,3867779.374152,0
418531.304949,3867779.607938,0
418531.188223,3867779.830797,0
418531.071397,3867780.042565,0
418530.954473,3867780.243244,0
418530.828516,3867780.455095,0
418530.720624,3867780.644602,0
418530.594766,3867780.867542,0
418530.459678,3867781.079474,0
418530.333623,3867781.280235,0
418530.180174,3867781.481239,0
418530.026823,3867781.693334,0
418529.873473,3867781.905429,0
418529.720123,3867782.117524,0
418529.575805,3867782.318447,0
418529.422356,3867782.519452,0
418529.259875,3867782.731628,0
418529.115656,3867782.943641,0
418528.962009,3867783.122466,0
418528.817592,3867783.312299,0
418528.691537,3867783.513060,0
418528.528858,3867783.703056,0
418528.384540,3867783.903979,0
418528.267714,3867784.115748,0
418528.150988,3867784.338607,0
418528.061754,3867784.572312,0
418527.990782,3867784.805853,0
418527.929041,3867785.050403,0
418527.885661,3867785.305881,0
418527.860444,3867785.550105,0
418527.862621,3867785.794085,0
418527.855765,3867786.049236,0
418527.867271,3867786.315314,0
418527.869546,3867786.570384,0
418527.880854,3867786.814283,0
418527.901392,3867787.069189,0
418527.903668,3867787.324259,0
418527.915075,3867787.579248,0
418527.935514,3867787.823065,0
