utm_x,utm_y,flag
418520.863025,3867784.259450,1
418520.833751,3867784.048984,1
418520.813510,3867783.827347,1
418520.829793,3867783.605385,1
418520.846274,3867783.405602,1
418520.889951,3867783.183395,1
418520.924596,3867782.972359,1
418520.959339,3867782.772413,1
418520.984457,3867782.517099,1
418521.028134,3867782.294891,1
418521.080645,3867782.039333,1
418521.115389,3867781.839387,1
418521.159264,3867781.639360,1
418521.203039,3867781.428243,1
418521.265078,3867781.216962,1
418521.317886,3867780.994674,1
418521.370694,3867780.772385,1
418521.423601,3867780.561186,1
418521.467476,3867780.361159,1
418521.520482,3867780.161050,1
418521.600782,3867779.949607,1
418521.690412,3867779.760263,1
418521.825697,3867779.570511,1
418521.961082,3867779.391849,1
418522.087533,3867779.235448,1
418522.250311,3867779.056542,1
418522.404057,3867778.888807,1
418522.539639,3867778.732325,1
418522.665893,3867778.553744,1
418522.773785,3867778.364237,1
418522.854184,3867778.163884,1
418522.916124,3867777.941514,1
418522.881479,3867778.152549,10
418522.819441,3867778.363829,0
418522.729910,3867778.564264,0
418522.613183,3867778.787123,0
418522.487029,3867778.976794,0
418522.342612,3867779.166627,0
418522.188965,3867779.345452,0
418522.017254,3867779.546620,0
418521.872442,3867779.692093,0
418521.700730,3867779.893261,0
418521.528920,3867780.083339,0
418521.384503,3867780.273172,0
418521.213188,3867780.518700,0
418521.096165,3867780.708289,0
418520.961077,3867780.920221,0
418520.844252,3867781.131990,0
418520.764050,3867781.354523,0
418520.702408,3867781.610163,0
418520.677191,3867781.854388,0
418520.661007,3867782.087441,0
418520.644921,3867782.331583,0
418520.619309,3867782.531448,0
418520.603026,3867782.753410,0
418520.586643,3867782.964283,0
418520.597655,3867783.174912,0
418520.627126,3867783.407557,0
418520.638434,3867783.651455,0
418520.685871,3867783.850668,0
418520.724375,3867784.072142,0
