utm_x,utm_y,flag,rddf_num
418425.221078,3867805.331990,0,0
418425.449059,3867805.296681,0,0
418425.667910,3867805.261453,0,0
418425.877728,3867805.237397,0,0
418426.142235,3867805.201761,0,0
418426.452397,3867805.165718,0,0
418426.780722,3867805.118422,0,0
418427.109245,3867805.093305,0,0
418427.428539,3867805.057180,0,0
418427.738701,3867805.021137,0,0
418428.185731,3867804.972780,0,0
418428.587205,3867804.935922,0,0
418428.842580,3867804.900368,0,0
418429.079792,3867804.876067,0,0
418429.298741,3867804.851930,0,0
418429.499330,3867804.816865,0,0
418429.772967,3867804.781148,0,0
418430.028243,3867804.734504,0,0
418430.274487,3867804.699032,0,0
418430.520632,3867804.652470,0,0
418430.803401,3867804.616672,0,0
418431.086070,3867804.569783,0,0
418431.469084,3867804.510907,0,0
418431.770115,3867804.474946,0,0
418431.988965,3867804.439718,0,0
418432.207915,3867804.415581,0,0
418432.454159,3867804.380109,0,0
418432.709534,3867804.344555,8,0
418432.928484,3867804.320418,0,0
418433.202121,3867804.284701,0,0
418433.402808,3867804.260727,0,0
418433.603496,3867804.236752,8,0
418433.804183,3867804.212778,0,0
418434.014001,3867804.188722,0,0
418434.397213,3867804.152027,0,0
418434.670949,3867804.127400,0,0
418434.880768,3867804.103344,0,0
418435.081455,3867804.079370,0,0
418435.318568,3867804.043979,0,0
418435.619500,3867803.996928,0,0
418435.829219,3867803.961782,0,0
418436.038939,3867803.926636,0,0
418436.248658,3867803.891490,0,0
418436.458378,3867803.856344,0,0
418436.750178,3867803.809375,0,0
418437.032848,3867803.762486,0,0
418437.297354,3867803.726851,0,0
418437.570893,3867803.680044,0,0
418437.844431,3867803.633238,0,0
418438.117970,3867803.586431,0,0
418438.373345,3867803.550878,0,0
418438.573933,3867803.515813,0,0
