utm_x,utm_y,flag
418517.676727,3867770.013922,1
418517.734978,3867770.401583,1
418517.773779,3867770.656327,1
418517.830842,3867770.910908,1
418517.878774,3867771.165571,1
418517.917376,3867771.398135,1
418517.965209,3867771.641707,1
418518.003911,3867771.885361,1
418518.042514,3867772.117925,1
418518.090248,3867772.350407,1
418518.156046,3867772.560547,1
418518.240107,3867772.770524,1
418518.342331,3867772.969247,1
418518.480981,3867773.156555,1
418518.628663,3867773.332691,1
418518.803640,3867773.497493,1
418518.987550,3867773.640034,1
418519.189624,3867773.771321,1
418519.409861,3867773.891356,1
418519.758033,3867774.021340,1
418519.995840,3867774.063581,1
418520.242580,3867774.083561,1
418520.489220,3867774.092452,1
418520.735861,3867774.101342,1
418520.973371,3867774.110314,1
418521.329092,3867774.062776,1
418521.566403,3867774.049568,1
418521.803616,3867774.025270,1
418522.031599,3867773.989963,1
418522.259582,3867773.954656,1
418522.496696,3867773.919268,1
418522.752072,3867773.883717,1
418523.034842,3867773.847921,1
418523.344906,3867773.800791,1
418523.654971,3867773.753661,1
418523.965035,3867773.706531,1
418524.220313,3867773.659890,1
418524.448296,3867773.624583,1
418524.229444,3867773.659809,10
418524.001461,3867773.695115,0
418523.736954,3867773.730748,0
418523.198906,3867773.813185,0
418522.998317,3867773.848247,0
418522.788498,3867773.872301,0
418522.569646,3867773.907526,0
418522.122713,3867773.966968,0
418521.903861,3867774.002193,0
418521.675780,3867774.026410,0
418521.447698,3867774.050627,0
418521.000666,3867774.098979,0
418520.553634,3867774.147331,0
418520.334683,3867774.171467,0
418519.951866,3867774.252518,0
418519.615002,3867774.366433,0
418519.215011,3867774.569638,0
418518.997347,3867774.737943,0
418518.726083,3867775.039817,0
418518.582260,3867775.296190,0
418518.466028,3867775.574499,0
418518.404980,3867775.896680,0
418518.389686,3867776.229542,0
418518.438310,3867776.561835,0
418518.532690,3867776.904810,0
418518.627267,3867777.269965,0
418518.712713,3867777.635201,0
418518.816421,3867778.000275,0
418518.901966,3867778.376601,0
418518.987412,3867778.741838,0
418519.063826,3867779.118246,0
418519.140141,3867779.483564,0
418519.207424,3867779.860053,0
418519.265476,3867780.225534,0
418519.332561,3867780.579844,0
418519.381383,3867780.934316,0
418519.439436,3867781.299797,0
418519.488357,3867781.665359,0
418519.537377,3867782.042012,0
418519.586299,3867782.407574,0
418519.625990,3867782.762128,0
418519.656154,3867783.072403,0
418519.685428,3867783.282869,0
