utm_x,utm_y,flag
418519.390894,3867777.906422,0
418519.352094,3867777.651678,0
418519.322919,3867777.452303,0
418519.284613,3867777.253009,0
418519.255240,3867777.031453,0
418519.234999,3867776.809816,0
418519.205725,3867776.599351,0
418519.167123,3867776.366787,0
418519.146782,3867776.134060,0
418519.108081,3867775.890406,0
418519.078609,3867775.657761,0
418519.049137,3867775.425115,0
418519.019963,3867775.225740,0
418518.981657,3867775.026446,0
418518.943351,3867774.827152,0
418518.914176,3867774.627776,0
418518.856718,3867774.328835,0
418518.808786,3867774.074173,0
418518.761052,3867773.841690,0
418518.722350,3867773.598036,0
418518.683351,3867773.321112,0
418518.654177,3867773.121737,0
418518.634133,3867772.922280,8
418518.614090,3867772.722823,8
418518.566554,3867772.512521,0
418518.546510,3867772.313064,0
418518.517039,3867772.080418,0
418518.487765,3867771.869953,0
418518.458590,3867771.670577,0
418518.429416,3867771.471202,0
418518.399944,3867771.238557,0
418518.370472,3867771.005911,0
418518.341199,3867770.795446,0
418518.302002,3867770.496342,0
418518.281662,3867770.263615,0
418518.261420,3867770.041978,0
418518.231850,3867769.798242,0
418518.211509,3867769.565516,0
418518.191466,3867769.366059,0
