utm_x,utm_y,flag
332231.933296,4128577.690508,1
332232.117909,4128577.609112,1
332232.302522,4128577.527717,1
332232.487136,4128577.446322,1
332232.706765,4128577.342025,1
332232.935482,4128577.248647,1
332233.137604,4128577.155801,1
332233.322217,4128577.074406,1
332233.542069,4128576.981205,1
332233.726682,4128576.899809,1
332233.928804,4128576.806964,1
332234.130926,4128576.714118,1
332234.394659,4128576.597839,1
332234.605646,4128576.504815,1
332234.825498,4128576.411615,1
332235.053992,4128576.307141,1
332235.282710,4128576.213763,1
332235.484609,4128576.109821,1
332235.721969,4128576.005170,1
332235.933178,4128575.923242,1
332236.126657,4128575.841670,1
332236.329222,4128575.771015,1
332236.523145,4128575.711633,1
332236.815029,4128575.672490,1
332237.045745,4128575.678971,1
332237.285549,4128575.696371,1
332237.650797,4128575.777858,1
332237.882401,4128575.828721,1
332238.141268,4128575.912339,1
332238.355586,4128575.985748,1
332238.561262,4128576.070430,1
332238.748985,4128576.144372,1
332239.061487,4128576.249115,1
332239.356258,4128576.354214,1
332239.695577,4128576.469520,1
332239.927626,4128576.542574,1
332240.159897,4128576.626724,1
332240.356485,4128576.700488,1
332240.659899,4128576.794314,1
332240.882861,4128576.856450,1
332241.106044,4128576.929682,1
332240.873996,4128576.856628,1
332240.659899,4128576.794314,1
332240.410120,4128576.721615,1
332240.142611,4128576.649270,1
332239.857593,4128576.588376,1
332239.555289,4128576.550028,1
332239.270716,4128576.511325,1
332238.977500,4128576.483895,1
332238.693592,4128576.478479,1
332238.427416,4128576.472707,1
332238.152596,4128576.478209,1
332237.904594,4128576.494273,1
332237.656369,4128576.499243,1
332237.417010,4128576.504034,1
332237.177429,4128576.497730,1
332236.937848,4128576.491427,1
332236.698266,4128576.485123,1
332236.449598,4128576.467901,1
332236.210017,4128576.461597,1
332235.962014,4128576.477662,1
332235.731520,4128576.482276,1
332235.386890,4128576.544675,1
332235.184324,4128576.615330,1
332234.902638,4128576.720869,1
332234.629595,4128576.815134,1
332234.435451,4128576.863421,1
332234.224020,4128576.934253,1
332234.012366,4128576.993990,1
332233.791848,4128577.053904,1
332233.562909,4128577.136187,1
332233.334192,4128577.229565,1
332233.096610,4128577.323121,1
332232.859250,4128577.427772,1
332232.621890,4128577.532423,1
332232.393173,4128577.625802,1
332232.155813,4128577.730453,1
332231.935739,4128577.812558,1
332231.707244,4128577.917032,1
332231.909366,4128577.824186,1
