utm_x,utm_y,flag
418518.211707,3867769.587696,1
418518.222917,3867769.820504,1
418518.261321,3867770.030888,1
418518.336251,3867770.240946,1
418518.420312,3867770.450923,1
418518.522437,3867770.638556,1
418518.651857,3867770.814855,1
418518.799341,3867770.968812,1
418518.964989,3867771.111515,1
418519.157931,3867771.242884,1
418519.350577,3867771.340983,1
418519.552156,3867771.416821,1
418519.762569,3867771.459307,1
418519.982014,3867771.490621,1
418520.210393,3867771.499674,1
418520.420113,3867771.464531,1
418520.629933,3867771.440477,1
418520.848883,3867771.416341,1
418521.067834,3867771.392206,1
418521.268423,3867771.357144,1
418521.505537,3867771.321755,1
418521.715356,3867771.297702,1
418521.934208,3867771.262476,1
418522.144028,3867771.238422,1
418522.371911,3867771.192026,1
418522.581533,3867771.145792,1
418522.800385,3867771.110567,1
418523.000875,3867771.064414,1
418522.800385,3867771.110567,10
418522.599795,3867771.145629,0
418522.399305,3867771.191781,0
418522.198716,3867771.226844,0
418521.989094,3867771.273077,0
418521.761111,3867771.308384,0
418521.523997,3867771.343772,0
418521.296015,3867771.379079,0
418521.077163,3867771.414305,0
418520.849180,3867771.449611,0
418520.648492,3867771.473584,0
418520.447903,3867771.508646,0
418520.165232,3867771.555532,0
418519.882956,3867771.646777,0
418519.673632,3867771.726281,0
418519.482570,3867771.805622,0
418519.282772,3867771.929405,0
418519.110467,3867772.064032,0
418518.965654,3867772.209506,0
418518.794240,3867772.443944,0
418518.677216,3867772.633533,0
418518.587884,3867772.856147,0
418518.526142,3867773.100698,0
418518.482663,3867773.345085,0
418518.484939,3867773.600155,0
418518.514510,3867773.843890,0
418518.580407,3867774.065120,0
418518.664666,3867774.297276,0
418518.730662,3867774.529596,0
418518.778396,3867774.762078,0
418518.817098,3867775.005732,0
418518.846767,3867775.260558,0
418518.876437,3867775.515383,0
418518.906106,3867775.770209,0
418518.935677,3867776.013944,0
418518.964950,3867776.224409,0
418518.985192,3867776.446046,0
