utm_x,utm_y,flag
418525.687805,3867768.234450,10
418525.735341,3867768.444752,1
418525.782778,3867768.643965,1
418525.830313,3867768.854267,1
418525.915462,3867769.186234,1
418525.945033,3867769.429969,1
418525.983833,3867769.684713,1
418526.022733,3867769.950547,1
418526.061533,3867770.205291,1
418526.100432,3867770.471125,1
418526.139332,3867770.736959,1
418526.178132,3867770.991703,1
418526.207703,3867771.235439,1
418526.246404,3867771.479093,1
418526.293940,3867771.689395,1
418526.360134,3867771.943895,1
418526.435261,3867772.176133,1
418526.528552,3867772.397118,1
418526.667598,3867772.628786,1
418526.824510,3867772.815931,1
418527.045439,3867773.013595,1
418527.210889,3867773.134119,1
418527.394403,3867773.232300,1
418527.642033,3867773.352090,1
418527.861776,3867773.416675,1
418528.136206,3867773.469681,1
418528.392275,3867773.511760,1
418528.593260,3867773.521057,1
418528.931114,3867773.518043,1
418529.168228,3867773.482655,1
418529.414473,3867773.447186,1
418529.660619,3867773.400626,1
418529.897733,3867773.365238,1
418530.125716,3867773.329931,1
418530.335337,3867773.283698,1
418530.599746,3867773.236975,1
418530.326206,3867773.283779,10
418530.016142,3867773.330909,0
418529.769995,3867773.377469,0
418529.359488,3867773.425494,0
418529.076817,3867773.472380,0
418528.784817,3867773.497167,0
418528.493015,3867773.544133,0
418528.219970,3867773.646387,0
418527.992778,3867773.770414,0
418527.802310,3867773.916295,0
418527.639630,3867774.106291,0
418527.504246,3867774.284953,0
418527.405386,3867774.463289,0
418527.315756,3867774.652633,0
418527.226918,3867774.930698,0
418527.183142,3867775.141815,0
418527.166660,3867775.341598,0
418527.186901,3867775.563235,0
418527.263018,3867775.906373,0
418527.310752,3867776.138855,0
418527.340322,3867776.382591,0
418527.379024,3867776.626245,0
418527.417824,3867776.880989,0
418527.447493,3867777.135814,0
418527.476965,3867777.368460,0
418527.506634,3867777.623285,0
