utm_x,utm_y,flag
418560.290757,3867761.304538,0
418560.481820,3867761.225198,0
418560.656302,3867761.334551,0
418560.800819,3867761.155808,0
418560.981563,3867760.943469,0
418561.125981,3867760.753637,0
418561.270300,3867760.552714,0
418561.441815,3867760.329367,0
418561.604198,3867760.106101,0
418561.775515,3867759.860574,0
418561.946832,3867759.615047,0
418562.118248,3867759.380610,0
418562.289763,3867759.157263,0
418562.461278,3867758.933916,0
418562.614629,3867758.721822,0
418562.777112,3867758.509646,0
418562.930562,3867758.308642,0
418563.074980,3867758.118809,0
418563.219496,3867757.940067,0
418563.354981,3867757.772495,0
418563.481235,3867757.593915,0
418563.652849,3867757.381658,0
418563.806299,3867757.180654,0
418563.904962,3867756.980139,0
418564.021987,3867756.790550,0
418564.139209,3867756.623142,0
418564.265365,3867756.433472,0
418564.373357,3867756.255055,0
418564.453757,3867756.054702,0
418564.561552,3867755.854105,0
418564.660314,3867755.664679,0
418564.768306,3867755.486262,4
418564.903790,3867755.318691,4
418565.048505,3867755.162128,4
418565.202351,3867755.005484,4
418565.365526,3867754.870939,4
418565.501010,3867754.703367,4
418565.699622,3867754.446506,4
418565.898234,3867754.189645,4
418566.142106,3867753.888016,4
418566.268460,3867753.720527,4
418566.403945,3867753.552955,4
418566.548560,3867753.385303,4
418566.683946,3867753.206641,4
418566.828562,3867753.038989,4
418566.982210,3867752.860164,4
418567.117695,3867752.692593,4
418567.262212,3867752.513850,4
418567.406828,3867752.346198,4
418567.542214,3867752.167537,4
418567.677599,3867751.988875,4
418567.803953,3867751.821385,4
418567.902814,3867751.643050,4
418568.029167,3867751.475560,4
418568.155521,3867751.308070,4
418568.399393,3867751.006442,4
418568.516616,3867750.839034,4
418568.732996,3867750.526560,4
418568.912851,3867750.214411,4
418569.111265,3867749.935370,4
418569.309679,3867749.656329,4
418569.517225,3867749.377206,4
418569.724869,3867749.109174,4
418569.950677,3867748.829889,4
418570.167255,3867748.539595,4
418570.383932,3867748.260391,4
418570.591379,3867747.970178,4
418570.826219,3867747.679721,4
418571.070191,3867747.389183,4
418571.305130,3867747.109816,4
418571.521807,3867746.830612,4
418571.756746,3867746.551246,4
418571.973621,3867746.294222,4
418572.190199,3867746.003928,4
418572.397646,3867745.713715,4
418572.623454,3867745.434430,4
418572.849262,3867745.155145,4
418573.065939,3867744.875941,4
418573.300779,3867744.585484,4
418573.526489,3867744.295109,4
418573.752099,3867743.993644,4
418573.986940,3867743.703187,4
418574.212550,3867743.401722,4
418574.456522,3867743.111184,4
418574.682231,3867742.820808,4
418574.907842,3867742.519343,4
418575.124420,3867742.229049,4
418575.350129,3867741.938674,4
418575.557477,3867741.637372,4
418575.783286,3867741.358086,4
418575.999864,3867741.067793,4
418576.179720,3867740.755644,4
418576.350741,3867740.476848,4
418576.485830,3867740.264917,4
418576.478578,3867740.475708,4
