utm_x,utm_y,flag
413251.429928,3891758.026206,1
413251.568235,3891758.202345,1
413251.733865,3891758.378222,1
413251.917496,3891758.531744,1
413252.128237,3891758.662824,1
413252.338765,3891758.771723,1
413252.567402,3891758.869356,1
413252.786507,3891758.922716,1
413252.996292,3891758.953981,1
413253.205864,3891758.963066,1
413253.424332,3891758.949882,1
413253.624585,3891758.936873,1
413253.834051,3891758.934867,1
413254.043305,3891758.910681,1
413254.243240,3891758.864400,1
413254.461282,3891758.806855,1
413254.679112,3891758.727129,1
413254.887623,3891758.625310,1
413255.095815,3891758.490218,1
413255.276686,3891758.355389,1
413255.420915,3891758.198728,1
413255.583464,3891758.052982,1
413255.754909,3891757.884969,1
413255.917140,3891757.705952,1
413256.061475,3891757.560381,1
413256.205704,3891757.403719,1
413256.377255,3891757.246796,1
413256.539592,3891757.078870,1
413256.674714,3891756.922296,1
413256.828157,3891756.776637,1
413256.972492,3891756.631066,1
413256.801047,3891756.799080,10
413256.638604,3891756.955916,0
413256.476266,3891757.123842,0
413256.295608,3891757.280852,0
413256.105949,3891757.449040,0
413255.952401,3891757.583608,0
413255.790063,3891757.751534,0
413255.609405,3891757.908545,0
413255.455857,3891758.043113,0
413255.275093,3891758.189032,0
413255.112649,3891758.345868,0
413254.968420,3891758.502530,0
413254.824297,3891758.670282,0
413254.689388,3891758.849037,0
413254.581800,3891759.027530,0
413254.474319,3891759.217114,0
413254.385158,3891759.417615,0
413254.296210,3891759.640295,0
413254.243478,3891759.840447,0
413254.209067,3891760.051514,0
413254.174549,3891760.251491,0
413254.167991,3891760.517749,0
413254.189179,3891760.828106,0
413254.245946,3891761.049392,0
413254.329929,3891761.259326,0
413254.432020,3891761.457994,0
413254.543006,3891761.634395,0
413254.699528,3891761.810360,0
413254.837623,3891761.964318,0
413254.985038,3891762.140369,0
413255.123133,3891762.294327,0
413255.261229,3891762.448286,0
413255.436177,3891762.646257,0
413255.601913,3891762.833224,0
413255.749115,3891762.987095,0
413255.905637,3891763.163060,0
413256.071267,3891763.338937,0
413256.329136,3891763.635938,0
413256.504085,3891763.833909,0
413256.679034,3891764.031880,0
413256.844770,3891764.218848,0
413257.010399,3891764.394725,0
413257.157707,3891764.559686,0
413257.304804,3891764.702467,0
413257.442899,3891764.856425,0
413257.626955,3891765.054309,0
413257.783583,3891765.241364,0
413257.940105,3891765.417329,0
413258.069199,3891765.582464,0
413258.244042,3891765.769345,0
413258.400564,3891765.945310,0
413258.538765,3891766.110358,0
413258.676860,3891766.264316,0
