utm_x,utm_y,flag
418517.590787,3867769.593236,1
418517.619961,3867769.792611,1
418517.695188,3867770.035939,1
418517.788578,3867770.268015,1
418517.881869,3867770.489000,1
418517.983994,3867770.676633,1
418518.122842,3867770.886121,1
418518.288984,3867771.084274,1
418518.454929,3867771.260248,1
418518.639136,3867771.436058,1
418518.887360,3867771.622388,1
418519.089434,3867771.753676,1
418519.309572,3867771.862620,1
418519.538643,3867771.949303,1
418519.776549,3867772.002635,1
418520.032420,3867772.022534,1
418520.288093,3867772.020252,1
418520.543766,3867772.017971,1
418520.790209,3867772.004681,1
418521.036356,3867771.958122,1
418521.264239,3867771.911725,1
418521.473861,3867771.865491,1
418521.720106,3867771.830021,1
418521.975482,3867771.794470,1
418522.230760,3867771.747829,1
418522.504300,3867771.701025,1
418522.786773,3867771.631959,1
418522.549857,3867771.689527,10
418522.349267,3867771.724590,7
418522.139547,3867771.759734,7
418521.929826,3867771.794877,7
418521.729237,3867771.829940,7
418521.473861,3867771.865491,7
418521.245878,3867771.900798,7
418520.963207,3867771.947683,7
418520.753388,3867771.971737,7
418520.525306,3867771.995954,7
418520.306553,3867772.042269,7
418520.115392,3867772.110520,7
418519.860906,3867772.245881,7
418519.679173,3867772.347321,7
418519.525229,3867772.492876,7
418519.380417,3867772.638349,7
418519.218133,3867772.872706,0
418519.101209,3867773.073385,0
418519.021106,3867773.307008,0
418518.959365,3867773.551558,0
418518.915886,3867773.795945,0
418518.899900,3867774.051178,0
418518.893044,3867774.306329,0
418518.886090,3867774.550391,0
418518.879136,3867774.794452,0
418518.871984,3867775.016333,0
418518.864931,3867775.249305,0
418518.866811,3867775.460015,0
418518.887646,3867775.748191,0
418518.908580,3867776.047458,0
418518.928722,3867776.258005,0
418518.967028,3867776.457299,0
418518.987270,3867776.678936,0
418519.025773,3867776.900410,0
418519.055047,3867777.110876,0
418519.075091,3867777.310332,0
418519.123616,3867777.631535,0
418519.152989,3867777.853090,0
418519.182361,3867778.074646,0
418519.221162,3867778.329390,0
418519.241205,3867778.528847,0
