utm_x,utm_y,flag,rddf_num
418438.263771,3867803.551856,0,0
418438.017428,3867803.576238,0,0
418437.725726,3867803.634298,0,0
418437.525336,3867803.691542,0,0
418437.142719,3867803.794778,0,0
418436.797122,3867803.953137,0,0
418436.560801,3867804.077247,0,0
418436.333909,3867804.234546,0,0
418436.080416,3867804.480809,0,0
418435.863844,3867804.771107,0,0
418435.746625,3867804.938517,0,0
418435.565983,3867805.161948,0,0
418435.394571,3867805.396387,0,0
418435.222961,3867805.608647,0,0
418435.078844,3867805.831752,0,0
418434.962219,3867806.065702,0,0
418434.873086,3867806.310497,0,0
418434.820578,3867806.566057,0,0
418434.804594,3867806.821290,0,0
418434.816201,3867807.098458,0,0
418434.855202,3867807.375382,0,0
418434.913357,3867807.751952,0,0
418434.961588,3867808.039884,0,0
418434.981634,3867808.239341,0,0
418435.029568,3867808.494003,0,0
418435.067875,3867808.693297,0,0
418435.115413,3867808.903599,0,0
418435.172775,3867809.191449,0,0
418435.211479,3867809.435103,0,0
418435.249886,3867809.645487,0,0
