utm_x,utm_y,flag
418527.172568,3867777.027358,0
418527.124637,3867776.772696,0
418527.077101,3867776.562393,0
418527.038597,3867776.340919,0
418527.009423,3867776.141544,0
418526.961986,3867775.942331,0
418526.923284,3867775.698677,0
418526.875452,3867775.455105,0
418526.836948,3867775.233631,0
418526.807774,3867775.034255,0
418526.769468,3867774.834961,0
418526.740195,3867774.624496,0
418526.692263,3867774.369833,0
418526.653561,3867774.126179,0
418526.606026,3867773.915877,0
418526.576851,3867773.716501,0
418526.510063,3867773.395462,0
418526.480889,3867773.196086,8
418526.451714,3867772.996711,8
418526.413310,3867772.786327,8
418526.375004,3867772.587033,8
418526.345632,3867772.365477,8
418526.307128,3867772.144003,8
418526.277755,3867771.922448,0
418526.248581,3867771.723072,0
418526.201045,3867771.512770,0
418526.171574,3867771.280124,0
418526.133169,3867771.069740,0
418526.103896,3867770.859275,0
418526.056261,3867770.637882,0
418526.017856,3867770.427498,0
418525.979253,3867770.194934,0
418525.940552,3867769.951280,0
418525.911377,3867769.751905,0
418525.872874,3867769.530431,0
418525.834271,3867769.297867,0
418525.795768,3867769.076393,0
418525.766593,3867768.877018,0
418525.728287,3867768.677724,0
418525.698915,3867768.456168,0
418525.669740,3867768.256793,0
