utm_x,utm_y,flag
418519.515212,3867779.557853,0
418519.476609,3867779.325289,0
418519.438106,3867779.103815,0
418519.408931,3867778.904440,0
418519.370130,3867778.649696,0
418519.340758,3867778.428141,0
418519.311484,3867778.217675,0
418519.281914,3867777.973940,0
418519.234081,3867777.730367,0
418519.185951,3867777.453525,0
418519.137821,3867777.176682,0
418519.099120,3867776.933028,0
418519.060517,3867776.700464,0
418519.022211,3867776.501170,0
418518.983608,3867776.268606,0
418518.954335,3867776.058141,0
418518.925160,3867775.858766,0
418518.886359,3867775.604022,0
418518.857086,3867775.393556,0
418518.818681,3867775.183172,0
418518.798538,3867774.972625,0
418518.760035,3867774.751151,0
418518.721531,3867774.529677,0
418518.692356,3867774.330302,0
418518.663181,3867774.130926,0
418518.633809,3867773.909371,8
418518.594810,3867773.632447,8
418518.565141,3867773.377622,8
418518.526439,3867773.133968,8
418518.496968,3867772.901322,8
418518.457870,3867772.613308,8
418518.437431,3867772.369491,8
418518.408256,3867772.170116,8
418518.378685,3867771.926381,8
418518.358642,3867771.726924,8
418518.283613,3867771.505776,0
418518.190421,3867771.295880,0
418518.069737,3867771.075140,0
418517.967612,3867770.887506,0
418517.892781,3867770.688538,0
418517.818049,3867770.500660,0
418517.761283,3867770.279349,0
418517.722779,3867770.057875,0
418517.693604,3867769.858500,0
418517.655299,3867769.659206,0
418517.626124,3867769.459830,0
