utm_x,utm_y,flag
418517.599918,3867769.593154,1
418517.638619,3867769.836808,1
418517.686156,3867770.047111,1
418517.743416,3867770.323872,1
418517.800183,3867770.545183,1
418517.848115,3867770.799845,1
418517.952120,3867771.198189,1
418518.018116,3867771.430508,1
418518.074981,3867771.662909,1
418518.131847,3867771.895310,1
418518.197546,3867772.094360,1
418518.263246,3867772.293409,1
418518.347504,3867772.525566,1
418518.440498,3867772.713281,1
418518.570314,3867772.933940,1
418518.773377,3867773.176128,1
418518.939322,3867773.352101,1
418519.096135,3867773.528156,1
418519.261981,3867773.693039,1
418519.436858,3867773.846751,1
418519.629801,3867773.978120,1
418519.813711,3867774.120661,1
418520.015586,3867774.229768,1
418520.235724,3867774.338713,1
418520.455565,3867774.414387,1
418520.684241,3867774.456710,1
418520.922047,3867774.498952,1
418521.150624,3867774.530185,1
418521.379002,3867774.539238,1
418521.597854,3867774.504013,1
418521.898886,3867774.468055,1
418522.163394,3867774.432422,1
418522.409540,3867774.385862,1
418522.664718,3867774.328131,1
418522.929127,3867774.281408,1
418523.175273,3867774.234849,1
418523.384795,3867774.177525,1
418523.184206,3867774.212587,10
418522.901634,3867774.270563,7
418522.701243,3867774.327805,7
418522.491720,3867774.385129,7
418522.291131,3867774.420191,7
418522.017690,3867774.478085,7
418521.799037,3867774.535491,7
418521.598448,3867774.570553,7
418521.379794,3867774.627958,7
418521.087992,3867774.674925,7
418520.878469,3867774.732249,7
418520.669343,3867774.833933,7
418520.469545,3867774.957715,7
418520.279176,3867775.114686,7
418520.116298,3867775.282503,7
418519.962751,3867775.472418,7
418519.809203,3867775.662333,0
418519.646622,3867775.863419,0
418519.484042,3867776.064505,0
418519.295157,3867776.387826,0
418519.205725,3867776.599351,0
418519.153016,3867776.832730,0
418519.127404,3867777.032594,0
418519.138811,3867777.287582,0
418519.168381,3867777.531318,0
418519.225247,3867777.763719,0
418519.254421,3867777.963094,0
418519.283992,3867778.206830,0
418519.313760,3867778.472745,0
418519.333903,3867778.683292,0
