utm_x,utm_y,flag
418561.941129,3867757.951467,7
418562.287422,3867757.870742,7
418562.444235,3867758.046798,7
418562.573654,3867758.223098,7
418562.703271,3867758.421578,7
418562.851348,3867758.642075,7
418562.998931,3867758.807122,7
418563.128548,3867759.005602,7
418563.257967,3867759.181901,7
418563.405747,3867759.369128,7
418563.608018,3867759.522597,7
418563.737635,3867759.721077,7
418563.857824,3867759.886368,7
418564.024460,3867760.139972,7
418564.153978,3867760.327362,7
418564.292825,3867760.536850,7
418564.440902,3867760.757347,7
418564.579848,3867760.977926,7
418564.709465,3867761.176406,7
418564.848312,3867761.385894,7
418564.978028,3867761.595464,7
418565.080152,3867761.783098,7
418565.173145,3867761.970814,7
418565.284895,3867762.213816,7
418565.378086,3867762.423712,7
418565.471376,3867762.644697,7
418565.583027,3867762.876610,7
418565.676416,3867763.108686,7
418565.742510,3867763.352096,7
418565.826966,3867763.606433,7
418565.901795,3867763.805401,7
418565.958560,3867764.026712,7
418566.015325,3867764.248024,7
418566.072189,3867764.480425,7
418566.110791,3867764.712989,7
418566.149195,3867764.923373,7
418566.169732,3867765.178280,7
418566.199301,3867765.422016,7
418566.210509,3867765.654824,7
418566.212487,3867765.876624,7
418566.206224,3867766.198315,7
418566.217728,3867766.464394,7
418566.201839,3867766.730716,7
418566.213542,3867767.018975,7
418566.188423,3867767.274289,7
418566.145041,3867767.529766,7
418566.110396,3867767.740801,7
418566.066817,3867767.974098,7
418566.014403,3867768.240747,7
418565.925464,3867768.507721,7
418565.827494,3867768.785866,7
418565.711261,3867769.064175,7
418565.585501,3867769.298204,7
418565.477707,3867769.498801,7
418565.351354,3867769.666291,7
418565.197607,3867769.834025,7
418565.006940,3867769.957725,7
418564.825404,3867770.081344,7
418564.652801,3867770.182701,7
418564.461838,3867770.273131,7
418564.234349,3867770.363887,7
418564.025024,3867770.443389,7
418563.806667,3867770.534064,7
418563.560817,3867770.613892,7
418563.333230,3867770.693558,7
418563.133036,3867770.772979,7
418562.932743,3867770.841311,7
418562.732450,3867770.909642,7
418562.523125,3867770.989145,7
418562.295439,3867771.057721,7
418562.086015,3867771.126134,7
418561.885722,3867771.194465,7
418561.694561,3867771.262715,7
418561.457941,3867771.353552,7
418561.248715,3867771.444145,7
418561.057949,3867771.556755,7
418560.885347,3867771.658112,7
418560.704009,3867771.803911,7
418560.532000,3867771.971808,7
418560.360288,3867772.172975,7
418560.197805,3867772.385151,7
418560.080682,3867772.563649,7
418559.936858,3867772.820022,7
418559.802165,3867773.076313,7
418559.703601,3867773.287919,7
418559.596104,3867773.521786,7
418559.497441,3867773.722302,7
418559.417041,3867773.922655,7
418559.327410,3867774.111999,7
418559.256042,3867774.301180,7
418559.175741,3867774.512623,7
418559.086407,3867774.735237,7
418558.988140,3867774.980113,7
418558.880841,3867775.236160,7
418558.801034,3867775.503052,7
418558.730259,3867775.758774,7
418558.677549,3867775.992152,7
418558.652035,3867776.203106,7
418558.617785,3867776.458502,7
418558.592171,3867776.658366,7
418558.566756,3867776.880410,7
418558.532110,3867777.091446,7
418558.515628,3867777.291229,7
418558.481082,3867777.513354,7
418558.455864,3867777.757578,7
418558.448909,3867778.001640,7
418558.460117,3867778.234448,7
418558.471127,3867778.445077,7
418558.491368,3867778.666714,7
418558.538903,3867778.877016,7
418558.586537,3867779.098409,7
418558.652334,3867779.308549,7
418558.746218,3867779.596074,7
418558.839408,3867779.805970,7
418558.941632,3867780.004694,7
418559.043855,3867780.203418,7
418559.164143,3867780.379799,7
418559.312319,3867780.611386,7
418559.414344,3867780.787930,7
418559.562619,3867781.030607,7
418559.674072,3867781.240340,7
418559.803985,3867781.472089,7
418559.924669,3867781.692831,7
418560.008728,3867781.902808,7
418560.065592,3867782.135209,7
418560.131489,3867782.356439,7
418560.188353,3867782.588840,7
418560.217625,3867782.799305,7
418560.246799,3867782.998681,7
418560.294829,3867783.264434,7
418560.343056,3867783.552366,7
418560.391679,3867783.884659,7
418560.440599,3867784.250222,7
418560.498649,3867784.615703,7
418560.547075,3867784.925815,7
418560.576347,3867785.136281,7
