utm_x,utm_y,flag
418517.787687,3867770.168205,1
418517.844453,3867770.389516,1
418517.937744,3867770.610501,1
418518.058429,3867770.831241,1
418518.289479,3867771.139724,1
418518.455226,3867771.293518,1
418518.648267,3867771.435977,1
418518.859373,3867771.556093,1
418519.088444,3867771.642776,1
418519.308087,3867771.696270,1
418519.527533,3867771.727585,1
418519.737649,3867771.736801,1
418520.029352,3867771.678744,1
418520.312023,3867771.631858,1
418520.585365,3867771.562874,1
418520.831610,3867771.527404,1
418521.086987,3867771.491853,1
418521.305937,3867771.467718,1
418521.533722,3867771.410231,1
418521.870785,3867771.318497,1
418522.135292,3867771.282864,1
418522.372505,3867771.258566,1
418522.728325,3867771.222118,1
418522.938243,3867771.209154,1
418523.202652,3867771.162432,1
418522.947176,3867771.186893,10
418522.709864,3867771.200101,0
418522.427292,3867771.258077,0
418522.099064,3867771.316460,0
418521.880213,3867771.351685,0
418521.661361,3867771.386910,0
418521.451542,3867771.410964,0
418521.232690,3867771.446190,0
418521.032002,3867771.470162,0
418520.822182,3867771.494216,0
418520.621494,3867771.518188,0
418520.420806,3867771.542161,0
418520.037791,3867771.601032,0
418519.764548,3867771.681107,0
418519.500832,3867771.805459,0
418519.237512,3867771.974172,0
418519.074536,3867772.130898,0
418518.929921,3867772.298552,0
418518.803866,3867772.499312,0
418518.660537,3867772.811136,0
418518.589566,3867773.044677,0
418518.564250,3867773.277812,0
418518.557296,3867773.521873,0
418518.586669,3867773.743428,0
418518.634304,3867773.964821,0
418518.682137,3867774.208393,0
418518.729870,3867774.440876,0
418518.777505,3867774.662268,0
418518.815910,3867774.872652,0
418518.854216,3867775.071946,0
418518.874359,3867775.282493,0
418518.913456,3867775.570507,0
418518.962377,3867775.936070,0
418518.983015,3867776.202066,0
418519.050792,3867776.634006,0
418519.071429,3867776.900003,0
418519.101396,3867777.188098,0
418519.140592,3867777.487202,0
418519.179789,3867777.786306,0
418519.209755,3867778.074401,0
418519.239721,3867778.362497,0
418519.269687,3867778.650592,0
418519.299654,3867778.938688,0
418519.347684,3867779.204440,0
418519.395715,3867779.470193,0
418519.425385,3867779.725018,0
418519.473217,3867779.968590,0
418519.512018,3867780.223334,0
418519.550819,3867780.478078,0
418519.580488,3867780.732904,0
418519.610257,3867780.998819,0
418519.649255,3867781.275743,0
418519.679221,3867781.563839,0
418519.700056,3867781.852015,0
418519.729924,3867782.129021,0
418519.778053,3867782.405863,0
418519.826084,3867782.671616,0
418519.855358,3867782.882081,0
418519.893763,3867783.092465,0
418519.932266,3867783.313939,0
418519.970671,3867783.524323,0
