utm_x,utm_y,flag
418518.068775,3867769.943879,1
418518.089016,3867770.165516,1
418518.118785,3867770.431431,1
418518.147959,3867770.630807,1
418518.213857,3867770.852036,1
418518.316279,3867771.072940,1
418518.464357,3867771.293436,1
418518.639730,3867771.502598,1
418518.832870,3867771.656147,1
418519.034845,3867771.776344,1
418519.245851,3867771.885370,1
418519.456561,3867771.961126,1
418519.657744,3867771.992604,1
418519.877190,3867772.023919,1
418520.096338,3867772.021963,1
418520.315289,3867771.997828,1
418520.524811,3867771.940504,1
418520.752497,3867771.871927,1
418520.961525,3867771.759153,1
418521.170355,3867771.624200,1
418521.397645,3867771.511263,1
418521.625232,3867771.431596,1
418521.834952,3867771.396452,1
418522.063034,3867771.372236,1
418522.263722,3867771.348263,1
418522.464411,3867771.324291,1
418522.665000,3867771.289229,1
418522.874819,3867771.265175,1
418523.102901,3867771.240958,1
418522.902114,3867771.253840,10
418522.646639,3867771.278302,0
418522.400393,3867771.313771,0
418522.199705,3867771.337744,0
418521.998918,3867771.350626,0
418521.734410,3867771.386259,0
418521.515658,3867771.432574,0
418521.269709,3867771.501314,0
418521.032991,3867771.581062,0
418520.787043,3867771.649802,0
418520.586652,3867771.707044,0
418520.349834,3867771.775702,0
418520.122247,3867771.855369,0
418519.894660,3867771.935036,0
418519.685534,3867772.036720,0
418519.458639,3867772.194016,0
418519.286334,3867772.328644,0
418519.132588,3867772.496379,0
418519.006434,3867772.686050,0
418518.889411,3867772.875639,0
418518.809011,3867773.075992,0
418518.737644,3867773.265174,0
418518.675903,3867773.509724,0
418518.632028,3867773.709751,0
418518.597680,3867773.954057,0
418518.581496,3867774.187110,0
418518.565311,3867774.420162,0
418518.586245,3867774.719429,0
418518.606388,3867774.929976,0
418518.617498,3867775.151695,0
418518.628509,3867775.362323,0
418518.649246,3867775.639410,0
418518.660356,3867775.861128,0
418518.680795,3867776.104945,0
418518.691905,3867776.326664,0
418518.693884,3867776.548463,0
418518.714818,3867776.847730,0
418518.716897,3867777.080620,0
418518.737237,3867777.313347,0
418518.757478,3867777.534984,0
418518.795883,3867777.745368,0
418518.825652,3867778.011283,0
418518.845794,3867778.221830,0
418518.866035,3867778.443467,0
418518.886475,3867778.687284,0
418518.897684,3867778.920092,0
418518.917925,3867779.141729,0
418518.920102,3867779.385709,0
418518.922378,3867779.640779,0
418518.942818,3867779.884596,0
418518.963059,3867780.106233,0
418519.001464,3867780.316617,0
418519.048901,3867780.515829,0
418519.123929,3867780.736977,0
418519.207990,3867780.946954,0
418519.292249,3867781.179111,0
418519.385836,3867781.433366,0
418519.470293,3867781.687702,0
418519.536388,3867781.931112,0
418519.602384,3867782.163431,0
418519.658952,3867782.362562,0
418519.706389,3867782.561775,0
418519.763353,3867782.805266,0
418519.820317,3867783.048757,0
418519.858722,3867783.259141,0
418519.897226,3867783.480615,0
418519.944861,3867783.702007,0
418519.992990,3867783.978850,0
418520.022363,3867784.200405,0
