utm_x,utm_y,flag
418517.581853,3867769.615497,1
418517.647751,3867769.836727,1
418517.750470,3867770.090901,1
418517.889515,3867770.322568,1
418518.037297,3867770.509795,1
418518.239964,3867770.707622,1
418518.414842,3867770.861334,1
418518.580391,3867770.992947,1
418518.745940,3867771.124561,1
418518.911488,3867771.256174,1
418519.122891,3867771.409560,1
418519.297274,3867771.507822,1
418519.480788,3867771.606002,1
418519.682466,3867771.692930,1
418519.902307,3867771.768604,1
418520.121852,3867771.811009,1
418520.368493,3867771.819899,1
418520.605705,3867771.795601,1
418520.861082,3867771.760050,1
418521.097998,3867771.702481,1
418521.325486,3867771.611725,1
418521.525680,3867771.532302,1
418521.735202,3867771.474979,1
418521.953658,3867771.395393,1
418522.217869,3867771.326491,1
418522.436819,3867771.302355,1
418522.637310,3867771.256203,1
418522.874523,3867771.231905,1
418522.673933,3867771.266967,1
418522.455675,3867771.368732,1
418522.273942,3867771.470172,1
418522.074144,3867771.593954,1
418521.847052,3867771.729071,1
418521.610829,3867771.864269,1
418521.356244,3867771.988540,1
418521.092231,3867772.079623,1
418520.828020,3867772.148525,1
418520.554382,3867772.184240,1
418520.289577,3867772.186602,1
418520.024773,3867772.188965,1
418519.769001,3867772.180156,1
418519.412093,3867772.094614,1
418519.201284,3867772.007768,1
418519.008539,3867771.898579,1
418518.842991,3867771.766965,1
418518.658685,3867771.580065,1
418518.501574,3867771.370740,1
418518.390318,3867771.183188,1
418518.268743,3867770.862637,1
418518.184187,3867770.597211,1
418518.118488,3867770.398161,1
418518.070754,3867770.165679,1
418518.041381,3867769.944123,1
418518.002877,3867769.722649,1
418517.973505,3867769.501094,1
418517.994241,3867769.778181,1
418518.032745,3867769.999655,1
418518.135761,3867770.287098,1
418518.192329,3867770.486229,1
418518.249491,3867770.751900,1
418518.251569,3867770.984790,1
418518.235286,3867771.206753,1
418518.246396,3867771.428471,1
418518.171664,3867771.240593,1
418518.050683,3867770.986583,1
418517.957491,3867770.776688,1
418517.873529,3867770.577801,1
418517.816862,3867770.367580,1
418517.741734,3867770.135342,1
418517.694198,3867769.925039,1
418517.646464,3867769.692557,1
418517.598829,3867769.471165,1
