utm_x,utm_y,flag
418442.485672,3867801.839426,1
418442.193871,3867801.886396,1
418441.911201,3867801.933284,1
418441.610269,3867801.980335,1
418441.327699,3867802.038313,1
418441.072620,3867802.107137,1
418440.863297,3867802.186642,1
418440.645140,3867802.299500,1
418440.454673,3867802.445382,1
418440.309862,3867802.590857,1
418440.156217,3867802.769683,1
418440.012001,3867802.981698,1
418439.868081,3867803.226983,1
418439.743415,3867803.583004,1
418439.691005,3867803.849654,1
418439.648717,3867804.227121,1
418439.660225,3867804.493199,1
418439.680964,3867804.770286,1
418439.674309,3867805.047618,1
418439.686808,3867805.424596,1
418439.680252,3867805.713017,1
418439.683620,3867806.090077,1
418439.695326,3867806.378335,1
418439.716164,3867806.666512,1
418439.746925,3867807.043327,1
418439.794958,3867807.309079,1
418439.824134,3867807.508455,1
418439.853608,3867807.741100,1
418439.901740,3867808.017942,1
418439.940146,3867808.228326,1
418439.978751,3867808.460889,1
418440.017455,3867808.704543,1
418439.978751,3867808.460889,11
418439.949575,3867808.261514,0
418439.901641,3867808.006852,0
418439.862541,3867807.718838,0
418439.842496,3867807.519382,0
418439.804089,3867807.308998,0
418439.764890,3867807.009894,0
418439.735714,3867806.810519,0
418439.706537,3867806.611144,0
418439.686492,3867806.411687,0
418439.684115,3867806.145527,0
418439.801037,3867805.944847,0
418439.826251,3867805.700622,0
418439.787944,3867805.501329,0
418439.731275,3867805.291108,0
418439.665178,3867805.047699,0
418439.553722,3867804.837968,0
418439.396610,3867804.628644,0
418439.193843,3867804.419729,0
418439.028393,3867804.299207,0
418438.835549,3867804.178930,0
418438.624542,3867804.069905,0
418438.404701,3867803.994233,0
418438.038761,3867803.919865,0
418437.792022,3867803.899887,0
418437.536349,3867803.902171,0
418437.280875,3867803.926634,0
418437.034433,3867803.939926,0
418436.788090,3867803.964308,0
418436.559712,3867803.955257,0
418436.331433,3867803.957296,0
418436.121317,3867803.948082,0
418435.838152,3867803.939520,0
418435.564119,3867803.930877,0
418435.299315,3867803.933242,0
418435.007217,3867803.946942,0
418434.797498,3867803.982088,0
418434.578548,3867804.006225,0
418434.332304,3867804.041697,0
418434.086258,3867804.099350,0
418433.830982,3867804.145993,0
418433.584738,3867804.181465,0
418433.347724,3867804.227946,0
418433.119743,3867804.263255,0
