utm_x,utm_y,flag
418432.939317,3867803.488505,0
418433.148937,3867803.442269,0
418433.395082,3867803.395707,0
418433.622965,3867803.349308,0
418433.832783,3867803.325252,0
418434.051535,3867803.278935,0
418434.297680,3867803.232373,0
418434.589381,3867803.174313,0
418434.789970,3867803.139248,0
418434.999689,3867803.104103,0
418435.282260,3867803.046124,0
418435.501110,3867803.010897,0
418435.719961,3867802.975669,0
418435.966205,3867802.940197,0
418436.175924,3867802.905052,0
418436.431201,3867802.858408,0
418436.713771,3867802.800430,0
418437.014604,3867802.742288,0
418437.233455,3867802.707061,0
418437.461536,3867802.682842,8
418437.662025,3867802.636688,0
418437.890007,3867802.601379,0
418438.127119,3867802.565989,0
418438.355002,3867802.519590,0
418438.573853,3867802.484362,0
418438.820097,3867802.448890,0
418439.048079,3867802.413581,0
418439.248766,3867802.389607,0
418439.485879,3867802.354217,0
418439.695599,3867802.319071,0
418439.969335,3867802.294445,0
418440.261136,3867802.247475,0
418440.461823,3867802.223501,0
418440.671642,3867802.199445,0
418440.954312,3867802.152557,0
418441.191524,3867802.128256,0
418441.401342,3867802.104201,0
418441.665849,3867802.068566,0
418441.957848,3867802.043776,0
