utm_x,utm_y,flag,rddf_num
418438.244816,3867803.474389,1,0
418437.870933,3867803.533183,1,0
418437.660917,3867803.535059,1,0
418437.441769,3867803.537016,1,0
418437.240983,3867803.549901,1,0
418436.966949,3867803.541257,1,0
418436.702443,3867803.576892,1,0
418436.365085,3867803.635360,1,0
418436.119237,3867803.715192,1,0
418435.882818,3867803.828213,1,0
418435.655827,3867803.974421,1,0
418435.393202,3867804.220767,1,0
418435.230624,3867804.421854,1,0
418435.069136,3867804.744932,1,0
418434.989234,3867805.000736,1,0
418434.927594,3867805.256377,1,0
418434.856724,3867805.501009,1,0
418434.813050,3867805.723217,1,0
418434.788033,3867805.989622,1,0
418434.771950,3867806.233765,1,0
418434.783261,3867806.477663,1,0
418434.812536,3867806.688128,1,0
418434.842208,3867806.942953,1,0
418434.881110,3867807.208787,1,0
418434.939166,3867807.574268,1,0
418434.987001,3867807.817840,1,0
418435.007343,3867808.050566,1,0
418435.037213,3867808.327572,1,0
418435.076016,3867808.582315,1,0
418435.134369,3867808.981066,1,0
418435.173073,3867809.224719,1,0
418435.211380,3867809.424013,1,0
418435.250381,3867809.700937,1,0
418435.211876,3867809.479463,0,0
418435.163248,3867809.147171,0,0
418435.115116,3867808.870329,0,0
418435.056367,3867808.427218,0,0
418435.017267,3867808.139205,0,0
418434.978266,3867807.862281,0,0
418434.957923,3867807.629554,0,0
418434.918625,3867807.319361,0,0
418434.879624,3867807.042437,0,0
418434.831789,3867806.798865,0,0
418434.728573,3867806.489242,0,0
418434.626050,3867806.257250,0,0
418434.477871,3867806.025665,0,0
418434.237589,3867805.706175,0,0
418434.090004,3867805.541130,0,0
418433.915126,3867805.387420,0,0
418433.731215,3867805.244881,0,0
418433.547304,3867805.102343,0,0
418433.363591,3867804.981984,0,0
418433.179879,3867804.861625,0,0
418432.996166,3867804.741267,0,0
418432.803520,3867804.643169,0,0
418432.601743,3867804.545154,0,0
418432.381902,3867804.469481,0,0
418432.153128,3867804.416070,0,0
418431.924651,3867804.395929,0,0
418431.696372,3867804.397968,0,0
418431.459160,3867804.422269,0,0
418431.213015,3867804.468831,0,0
418430.966672,3867804.493213,0,0
418430.729658,3867804.539694,0,0
418430.492545,3867804.575085,0,0
418430.264464,3867804.599304,0,0
418430.045614,3867804.634531,0,0
418429.835895,3867804.669677,0,0
418429.635108,3867804.682562,0,0
418429.361471,3867804.718279,0,0
418429.105996,3867804.742742,0,0
418428.841589,3867804.789468,0,0
418428.631672,3867804.802434,0,0
418428.412722,3867804.826571,0,0
418428.175510,3867804.850872,0,0
418427.929167,3867804.875254,0,0
418427.682824,3867804.899637,0,0
418427.381694,3867804.924508,0,0
418427.162844,3867804.959736,0,0
418426.925632,3867804.984037,0,0
