utm_x,utm_y,flag
418440.572883,3867802.388872,1
418440.308377,3867802.424507,1
418440.025608,3867802.460305,1
418439.825218,3867802.517549,1
418439.524484,3867802.586781,1
418439.242111,3867802.666939,1
418438.887086,3867802.792109,1
418438.632404,3867802.905293,1
418438.396182,3867803.040493,1
418438.096835,3867803.264984,1
418437.797389,3867803.478386,1
418437.543599,3867803.691379,1
418437.408117,3867803.858952,1
418437.272933,3867804.059796,1
418437.174075,3867804.238133,1
418437.102709,3867804.427315,1
418437.031839,3867804.671947,1
418436.971388,3867805.060668,1
418436.964139,3867805.271460,1
418436.957781,3867805.582061,1
418436.952315,3867805.992472,1
418436.964121,3867806.291821,1
418436.975827,3867806.580079,1
418436.997358,3867806.945886,1
418437.017899,3867807.200792,1
418437.047273,3867807.422348,1
418437.007480,3867807.056704,10
418436.987435,3867806.857247,0
418436.948830,3867806.624684,0
418436.910324,3867806.403210,0
418436.834303,3867806.071163,0
418436.786667,3867805.849770,0
418436.729998,3867805.639550,0
418436.626980,3867805.352107,0
418436.524160,3867805.086844,0
418436.394243,3867804.855096,0
418436.208946,3867804.557298,0
418435.969158,3867804.293258,0
418435.684012,3867804.062897,0
418435.454248,3867803.898586,0
418435.124040,3867803.735172,0
418434.858345,3867803.637727,0
418434.592848,3867803.562462,0
418434.227107,3867803.510275,0
418433.962303,3867803.512640,0
418433.688567,3867803.537267,0
418433.323915,3867803.607069,0
418433.050475,3867803.664966,0
418432.813362,3867803.700357,0
