utm_x,utm_y,flag
418517.646959,3867769.748007,1
418517.722482,3867770.024605,1
418517.806543,3867770.234582,1
418517.881671,3867770.466820,1
418517.956600,3867770.676878,1
418518.040562,3867770.875764,1
418518.170774,3867771.140783,1
418518.309820,3867771.372451,1
418518.467128,3867771.603956,1
418518.596449,3867771.769165,1
418518.753064,3867771.923040,1
418518.918811,3867772.076833,1
418519.212691,3867772.262756,1
418519.432730,3867772.360611,1
418519.652571,3867772.436285,1
418519.881148,3867772.467518,1
418520.118756,3867772.487580,1
418520.346838,3867772.463363,1
418520.574623,3867772.405876,1
418520.802309,3867772.337300,1
418521.039027,3867772.257551,1
418521.284975,3867772.188812,1
418521.530924,3867772.120072,1
418521.767840,3867772.062504,1
418521.986494,3867772.005098,1
418522.177259,3867771.892488,1
418522.477203,3867771.734539,1
418522.704790,3867771.654872,1
418522.932674,3867771.608476,1
418522.677297,3867771.644027,0
418522.403758,3867771.690831,0
418522.166545,3867771.715129,0
418521.902136,3867771.761852,0
418521.619366,3867771.797647,0
418521.336695,3867771.844533,0
418521.054123,3867771.902509,0
418520.799242,3867771.993510,0
418520.562523,3867772.073258,0
418520.344463,3867772.197203,0
418520.080945,3867772.343736,0
418519.890477,3867772.489617,0
418519.709535,3867772.679776,0
418519.484224,3867773.014513,0
418519.376827,3867773.259470,0
418519.297021,3867773.526364,0
418519.244510,3867773.781922,0
418519.210261,3867774.037318,0
418519.185242,3867774.303722,0
418519.160026,3867774.547946,0
418519.125678,3867774.792252,0
418519.074255,3867775.169801,0
418519.059258,3867775.535934,0
418519.070665,3867775.790922,0
418519.072842,3867776.034902,0
418519.084150,3867776.278800,0
418519.086228,3867776.511690,0
418519.106668,3867776.755507,0
418519.117976,3867776.999405,0
418519.138316,3867777.232132,0
418519.149525,3867777.464941,0
418519.178799,3867777.675406,0
418519.226335,3867777.885709,0
418519.274762,3867778.195821,0
418519.313463,3867778.439475,0
418519.342935,3867778.672120,0
