utm_x,utm_y,flag
418442.788090,3867801.958725,1
418442.871954,3867802.146521,1
418443.002464,3867802.444809,1
418443.104789,3867802.654622,1
418443.216443,3867802.886533,1
418443.327997,3867803.107354,1
418443.420993,3867803.295069,1
418443.276182,3867803.440543,1
418443.085121,3867803.519886,1
418442.866666,3867803.599473,1
418442.584195,3867803.668541,1
418442.383805,3867803.725785,1
418442.174481,3867803.805291,1
418441.874144,3867803.918882,1
418441.628890,3867804.065254,1
418441.429490,3867804.233398,1
418441.257385,3867804.390208,1
418441.103641,3867804.557944,1
418440.959623,3867804.792139,1
418440.860765,3867804.970476,1
418440.780466,3867805.181919,1
418440.718430,3867805.393200,1
418440.674656,3867805.604318,1
418440.658276,3867805.815191,1
418440.623534,3867806.015137,1
418440.634844,3867806.259035,1
418440.600994,3867806.558791,1
418440.585010,3867806.814024,1
418440.550962,3867807.091600,1
418440.526143,3867807.380185,1
418440.492293,3867807.679941,1
418440.476507,3867807.957354,1
418440.478884,3867808.223514,1
418440.508060,3867808.422889,1
418440.564828,3867808.644200,1
418440.667747,3867808.920553,1
418440.734042,3867809.186142,1
418440.809073,3867809.407289,1
418440.958440,3867809.771954,1
418441.042997,3867810.037380,1
418441.145520,3867810.269373,1
418441.238713,3867810.479267,1
418441.118424,3867810.302887,1
418440.997440,3867810.048878,1
418440.895413,3867809.872335,1
418440.811450,3867809.673449,1
418440.718256,3867809.463554,1
418440.624964,3867809.242570,1
418440.540803,3867809.021504,1
418440.484134,3867808.811284,1
418440.445826,3867808.611990,1
418440.398388,3867808.412778,1
418440.350949,3867808.213566,1
418440.330904,3867808.014109,1
418440.291903,3867807.737185,1
418440.271858,3867807.537728,1
418440.251813,3867807.338272,1
418440.222042,3867807.072356,1
418440.200808,3867806.739820,1
418440.226023,3867806.495595,1
418440.279027,3867806.295486,1
418440.359424,3867806.095132,1
418440.494212,3867805.849929,1
418440.656394,3867805.604481,1
418440.810237,3867805.447835,1
418440.982441,3867805.302115,1
418441.163975,3867805.178494,1
418441.364068,3867805.087980,1
418441.555228,3867805.019728,1
418441.755717,3867804.973573,1
418441.934477,3867804.539433,1
418442.041476,3867804.250114,1
418441.289273,3867802.848291,1
418441.452446,3867802.713743,1
